conversation_id,tweet,ground_truth_intent,ground_truth_escalation,rag_intent,rag_escalation,rag_escalation_reason,rag_reply,rag_judge_accuracy,rag_judge_tone,rag_judge_escalation,rag_judge_reasoning,simp_intent,simp_escalation,simp_reply,simp_judge_accuracy,simp_judge_tone,simp_judge_escalation,triv_intent,triv_reply
86421,@115888 WHY ISN'T SPOTIFY AVAILABLE IN VIETNAM????? PLEASE WE NEED IT 😠😠,general_inquiry,False,general_inquiry,False,General regional availability inquiries do not require backstage database access or private DM verification.,Hey there! We're launching in new markets as often as possible. Stay tuned for updates on where we're headed next! /AC,fully_correct,excellent,correct_no_escalation,"Both candidates correctly identify that the user is asking about Spotify's availability in a specific country (Vietnam). Candidate A provides a fully correct response explaining that Spotify launches in new markets periodically and tells them to stay tuned, maintaining an empathetic and on-brand tone without needing escalation. Candidate B provides a similar response but includes a broken or missing URL placeholder, making it slightly less helpful. Neither issue requires escalation.",general_inquiry,False,@134874 Hey there! We're launching in new countries as often as possible. Sign up here to be first to hear: /AC,partially_correct,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2759213,Why does spotify encourage people to use their phones while driving? You really think people arent gonna reach for their phones while driving when they get that “want a break from the ads?” Notification? @115888 @SpotifyCares @117168,general_inquiry,False,general_inquiry,False,Not applicable for auto-handled feedback and general inquiries.,We hear you! Thanks for sharing your thoughts with us. We take safety seriously and have passed your feedback along to the team 👊🏼 /MG,fully_correct,excellent,correct_no_escalation,"Both candidates handled the general feedback regarding safety and ad notifications appropriately. The customer was sharing a critique rather than reporting a broken feature, billing issue, or hacked account, so no escalation was needed. Both candidates correctly identified that no escalation was required and provided a warm, conversational, and on-brand tone suitable for Twitter. Candidate A slightly better addresses the specific sentiment of the tweet with 'We hear you! Thanks for sharing your thoughts with us', while Candidate B used a canned handle placeholder, but both are fully accurate in handling non-actionable feedback.",general_inquiry,False,@772071 We hear you! Your feedback has been noted and passed onto the team 👊🏼 /MG,fully_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1648946,@115888 what is the keyboard shortcut for queuing a song on windows?,feature_request,False,feature_request,False,General how-to question regarding keyboard shortcuts that can be auto-handled without private account access.,"We can see how that’d be super useful! Right now, adding to the queue is done via right-clicking or the three dots, but we'll definitely pass your feedback along to the right team. Let us know if you need anything else! 🎧 /NH",fully_correct,excellent,correct_no_escalation,"The customer is asking for a keyboard shortcut to queue a song on the Spotify Windows app. Both models correctly identify this as a feature-related inquiry (or lack of current shortcut). Candidate A provides an accurate workaround (right-click / three dots) and acknowledges the feedback warmly, fitting the Spotify support tone well ('fully_correct', 'excellent'). Candidate B gives a generic response pointing to a vote link, which is okay but less helpful regarding immediate workarounds ('partially_correct', 'acceptable'). Neither issue requires escalation, and both appropriately handle this as self-serve ('correct_no_escalation').",feature_request,False,@503711 We can see how that’d be useful. You can vote for the official idea here: /MU,partially_correct,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2190889,"@115888 MAKE THE SHUFFLE BUTTON BIGGER, PLEASE!",feature_request,False,feature_request,False,Not an escalation since feature requests and feedback can be handled automatically by acknowledging the suggestion and passing it along without requiring private account verification.,We hear you! 🎧 Rest assured your feedback will be passed on to the right folks. Let us know if you need anything else! /DF,fully_correct,excellent,correct_no_escalation,"The customer is making a feature request about the UI (making the shuffle button bigger). Neither response requires an escalation since it is just feedback, so both score 'correct_no_escalation'. Both acknowledge the feedback appropriately, giving them 'fully_correct' accuracy for a feature request. Both maintain a friendly, on-brand Spotify tone, earning 'excellent' for tone.",feature_request,False,@644398 We hear you 🎧 Rest assured your feedback will be passed on to the right folks /DF,fully_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
900911,"@115888 Don't get me wrong, I love this song, but having it once would probably be enough",feature_request,False,feature_request,False,No escalation is needed as this is standard product feedback that can be publicly acknowledged and forwarded to the appropriate team.,Hey there! Thanks for the feedback—we appreciate you sharing this and will be sure to pass it on to the right team. Let us know if anything else comes up! /NY,fully_correct,excellent,correct_no_escalation,"The customer is tweeting about playing a song repeatedly (likely a shuffle or repeat queue issue, or just casual feedback about a track looping), representing a minor issue or feedback without a high-risk escalation need. Candidate A provides a warm, natural, and concise response acknowledging the feedback and offering to pass it along without unnecessary escalation. Candidate B is also quite good, though it awkwardly addresses the user as 'Jordi' (perhaps hallucinated from metadata). Both handle accuracy well by addressing the feedback nature of the tweet, maintain a solid tone, and correctly avoid unnecessary escalation.",feature_request,False,"@333863 Hi Jordi, thanks for the feedback! No worries, we'll get this passed on to the right folks. Anything else, let us know /NY",fully_correct,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2915224,I've picked up on @115888 shuffle algorithm and I just want it to be genuinely random. Can you turn off your algorithm for me? Thanks,feature_request,False,feature_request,False,Not applicable for auto-handled feature requests and product feedback.,"Hey there! We’re afraid we can't turn off the shuffle algorithm. We’ve recently made some improvements to it, and we’d love to hear your feedback here: https://support.spotify.com /LO",fully_correct,excellent,correct_no_escalation,"The customer is making a feature request/complaint about the shuffle algorithm and asking to turn it off. Both agents correctly identify that this is not possible, explain the situation, and direct the user to feedback channels without needing escalation. Candidate A includes a helpful support link, while Candidate B uses a personalized greeting but misses the link. Both achieve fully_correct accuracy and correct_no_escalation. Candidate A has a slightly better tone due to providing the direct help link.",feature_request,False,"@806955 Hey Ryan! We're afraid that's not possible. We’ve recently made some improvements to our shuffle algorithm, and we’d love to hear your feedback here: /LO",fully_correct,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2275358,Since when does @115888 skip and stutter? This is what I pay premium for? I want a song to skip I'll dig out my Mum's old Wham records!,app_bug,False,app_bug,False,App troubleshooting and playback issues do not require database lookups or account verification and can be auto-handled.,"Hey there! That's definitely not ideal. Does logging out, restarting your device, and logging back in help fix the stuttering? Let us know how it goes!",fully_correct,excellent,correct_no_escalation,"Both candidates correctly identify that the user is experiencing playback issues (skipping and stuttering) and both provide the exact same troubleshooting steps (logout, restart, login) which are standard and appropriate for this type of app bug. Both maintain a friendly, on-brand Twitter tone, though Candidate A flows slightly better while Candidate B includes an agent sign-off. Neither issue required escalation since it is a standard self-serve troubleshooting scenario, so both correctly avoided escalation.",feature_request,False,@661796 Hey there! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /CG,fully_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1850753,"@SpotifyCares Errrr guys, just updated my iPhone with iOS 11.0.2 to app 8.4.22.515 and I’ve lost control centre integration for playback?",app_bug,False,app_bug,False,Technical app bugs can be handled via standard troubleshooting or feedback logging without requiring private account access.,Hey there! Thanks for letting us know about this. We'd love to help—could you try restarting your device and reinstalling the app? Let us know how it goes! 🎧 /AR,partially_correct,excellent,correct_no_escalation,"Candidate A provides troubleshooting steps (restarting and reinstalling) which are partially correct for addressing a potential app bug/integration issue, maintains an excellent Spotify-branded tone, and correctly avoids unnecessary escalation for a standard app bug. Candidate B completely misunderstands the context, hallucinating that the issue is resolved ('glad everything's working fine now'), making its accuracy incorrect and tone poor, though it correctly avoids escalation.",app_bug,False,"@554018 You're welcome! We're glad everything's working fine now. If you ever need us again, just give us a... 🙂 /AR",incorrect,poor,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2582075,why u keep deleting &gt;all&lt; my downloaded music tf @115888,app_bug,False,app_bug,False,No escalation required as this is a known app troubleshooting issue with standard self-help steps available.,"Hi there! Sorry to hear your downloads keep disappearing. Check out the steps under ""Downloads unexpectedly removed"" here: https://support.spotify.com They should help get things sorted! /DN",fully_correct,excellent,correct_no_escalation,"Candidate A provides an accurate link and helpful guidance for a known troubleshooting step regarding disappearing downloads, maintaining a warm, professional, and concise tone appropriate for Twitter, and correctly avoids unnecessary escalation since this is a self-serve troubleshooting issue. Candidate B is nearly identical but is slightly less polished by missing the actual URL domain in the text, though tone and escalation handling are similarly appropriate.",feature_request,False,@125610 Hi there. Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at They should help with this /DN,fully_correct,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
59702,"Spoke to @SpotifyCares. Nope, this is not something Spotify is equipped to do. Only ugly workarounds like logging off/on.",app_bug,False,app_bug,False,"No unauthorized charges, account security issues, or private verification needed; this is general product feedback.","Hey there! Thanks for the feedback, we really appreciate it. We’ll be sure to pass this along to the right team for review 💚 /SV",fully_correct,excellent,correct_no_escalation,"The customer is expressing frustration about a product limitation or bug regarding account functionality, noting that only ugly workarounds exist. Neither candidate offers a technical fix, but both appropriately acknowledge the feedback and route it to the right team without needing an escalation since it is product feedback/a known limitation. Candidate A uses a warmer tone with a Spotify green heart emoji, fitting the brand well for Twitter, while Candidate B uses a standard, slightly more generic corporate tone. Both handle accuracy and escalation correctly given the nature of the tweet.",app_bug,False,"@129640 Hi Andrei, thanks for the feedback. We appreciate it! We’ll get this passed onto the right team /JQ",fully_correct,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1949236,@115888 Its not free!ive been charged TWICE 😤,subscription_issue,True,billing_dispute,True,Double billing and unauthorized charges require private account verification and backstage tools handled exclusively by human support.,Hey there! We certainly want to clear this up. Could you slide into our DMs with your account email address? We'll take a closer look backstage and help sort this out for you! /BX,fully_correct,excellent,correct_escalation,"Candidate A correctly identifies the customer is reporting an unauthorized billing issue, maintains a warm and empathetic Spotify-branded tone, and invites the user to DMs to handle sensitive account details, aligning with the need for escalation. Candidate B completely misinterprets the tweet as a thank you message, offering an irrelevant and tone-deaf response.",subscription_issue,True,"@579069 You're welcome, we're glad you're back to your tunes! Now let's... 🙂 /BX",incorrect,poor,missed_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1865819,@115888 I am not able to sign up.,subscription_issue,False,subscription_issue,False,Issue can be auto-handled by asking for troubleshooting details without requiring backend database or private billing verification.,Hey there! Help's here. Can you let us know what's happening exactly? Are you getting any specific error messages when trying to sign up? Keep us posted!,partially_correct,excellent,correct_no_escalation,"Both candidates correctly identify that they need more information regarding the sign-up issue without prematurely escalating a self-serve task. Candidate A has a warm and natural Twitter-style tone, though it misses asking for the country which is a standard troubleshooting step. Candidate B includes the country question which is helpful for regional sign-up blocks. Both achieve correct accuracy by prompting for details and correctly judge that escalation is unnecessary.",subscription_issue,False,"@557427 Hey there! Are you getting any error messages when signing up for Spotify? Also, what country are you signing up from? Keep us posted /BH",fully_correct,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
44355,@115888 not able to pay 9 pesos through smart? :(,subscription_issue,True,subscription_issue,False,Not an escalation. The issue is a standard subscription payment method requirement that can be addressed directly with general guidance.,"Hi there! To get the Intro Offer, you'll need to use a recurring payment method such as a debit/credit card or PayPal. Head over to https://support.spotify.com for more info on accepted payment methods. Let us know how it goes!",partially_correct,acceptable,missed_escalation,"The customer is experiencing a payment failure regarding a carrier billing option (Smart 9 pesos). Both candidates attempt to address a promo/intro offer payment method restriction, but both fail to acknowledge the carrier billing aspect directly. Candidate A is cut off mid-sentence regarding accepted methods, while Candidate B contains a grammatical error at 'at Let us know'. Both fail to recognize that a payment/billing dispute involving carrier billing requires escalation, making both candidates miss the required escalation for a billing-related failure.",subscription_issue,False,"@399885 Hi there! To get the Intro Offer under your preferred rate, you'll need to use a recurring payment method such as a debit/credit card or PayPal at Let us know how it goes /NJ",partially_correct,poor,missed_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2347863,Ah ada banyak lagu Indo yang okeh dan gak ada di @118266... Bisa request gak yah?,subscription_issue,False,general_inquiry,False,Catalog availability and song request inquiries do not require private human agent intervention or account verification.,"Hi there! We can help in English via Twitter, but we also have Indonesian support via email. For catalog info, check out https://support.spotify.com!",partially_correct,acceptable,correct_no_escalation,"The customer is asking in Indonesian about requesting missing Indonesian tracks in the Spotify catalog. Both candidates fail to address the actual catalog request directly, instead deflecting to language support. Candidate A provides a helpful support link, while Candidate B offers a canned English vs Indonesian response. Neither issue represents an escalation case as it is a general catalog inquiry, so no escalation is correct for both. Both struggle with accuracy due to the language and content mismatch.",subscription_issue,False,"@678758 Hi there! We can help out in English via Twitter, but we also have Indonesian support via email at /NH",incorrect,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
118842,@115888 when is your amazing app going to get released in South Africa? Is it going to be released in South Africa?,off_topic_chatter,False,off_topic_chatter,False,No escalation required for regional availability inquiries; can be auto-handled.,Hi there! We are always looking to expand to new regions. Keep an eye on our official news page for updates on future launches!,fully_correct,excellent,correct_no_escalation,"The customer is asking about Spotify's availability in South Africa, which is an off-topic/general inquiry rather than a technical support issue or a high-risk escalation. Candidate A provides a polite, accurate, and on-brand response regarding regional expansion without needing to escalate. Candidate B gives a bizarre and contextually irrelevant automated response that completely misses the point of the customer tweet. Therefore, Candidate A scores fully_correct, excellent, and correct_no_escalation, while Candidate B scores incorrect, poor, and correct_no_escalation.",off_topic_chatter,False,@142346 Awesome! Let us know if you ever need us again. We'd be... /PK,incorrect,poor,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
590140,@115888 It’s 99kr not 9...,off_topic_chatter,False,off_topic_chatter,False,General pricing and promotional clarification can be auto-handled without private account access or database verification.,"Hey! The discounted promo rate is only for eligible users who haven't tried Premium before. If you've had Premium in the past, regular pricing applies. Let us know if you have any other questions!",not_applicable,acceptable,correct_no_escalation,"The customer tweet is off-topic chatter correcting a typo or pricing comment ('It's 99kr not 9...'). Candidate A attempts to explain subscription pricing rules, which is partially related to pricing but treats off-topic chatter as a genuine support query. Candidate B gives a canned DM response. Since this is non-actionable off-topic chatter, neither candidate required escalation, making both correct on escalation (correct_no_escalation). Candidate A's tone is acceptable, but accuracy is partially_correct or not_applicable since there was no actual support issue. Candidate B's response is generic but avoids making wrong assumptions.",off_topic_chatter,False,@417448 Hey! We've just replied to your DM. Let's carry on chatting out there /MU,not_applicable,acceptable,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1695017,.@115888 Jamaicans would love to access your service.,off_topic_chatter,False,off_topic_chatter,False,General regional availability inquiry that can be auto-handled with standard information regarding country expansions.,Hey there! We're launching in new countries as often as possible. Stay tuned for updates on where we're heading next at https://support.spotify.com! /TF,fully_correct,excellent,correct_no_escalation,"The customer tweet is off-topic chatter expressing a desire for Spotify to launch in Jamaica. Both candidates recognize this is a general availability/expansion comment rather than a technical support issue. Candidate A is fully accurate, provides a helpful link, and maintains a warm, on-brand Spotify tone while appropriately not escalating the non-issue. Candidate B hallucinates a customer name (Taurus), addresses the user incorrectly, and cuts off mid-sentence (Be sure to add your email at /TF), making it poor in tone and accuracy.",off_topic_chatter,False,@514273 Hey Taurus! We're launching in new countries as often as possible. Be sure to add your email at /TF,partially_correct,poor,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
1078171,@115888 Hello? Can I get some support?,off_topic_chatter,False,off_topic_chatter,True,Customer is requesting general support and needs to be connected to a human agent in DMs to identify and resolve their unspecified issue.,Hi there! Can you DM us your account's email address and let us know what's happening? We'll take a look backstage /LM,fully_correct,excellent,correct_no_escalation,"The customer tweet is a generic greeting ('Hello? Can I get some support?') without specifying any actual problem, making it off_topic_chatter. Candidate A asks for the email address and what is happening, which is a fully correct and helpful approach to gather context, maintaining an excellent, on-brand Spotify tone, and correctly deciding not to escalate since there is no actionable issue yet. Candidate B also asks for the email to investigate, which is mostly correct, maintaining an excellent tone and correct no-escalation, though asking 'what's happening' like Candidate A is slightly better for gathering context. Both agents performed well on tone and escalation, with Candidate A slightly better on accuracy due to asking for the specific issue.",off_topic_chatter,False,@374349 Hi there! Can you DM us your account's email address? We'll take a look backstage /LM,partially_correct,excellent,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
2917924,@115888 problems with streaming at the moment?,app_bug,False,off_topic_chatter,False,General inquiry regarding streaming status does not require backstage account lookup or private verification.,"Everything is running smoothly on our end! If you're experiencing any hiccups, try logging out and back in, or check our status page for updates. Let us know how it goes! /SK",fully_correct,excellent,correct_no_escalation,"Candidate A provides a fully correct and helpful response by addressing the customer's streaming issue with actionable troubleshooting steps (logging out and back in) and a warm, professional tone, appropriately avoiding unnecessary escalation. Candidate B gives a completely irrelevant response with a random smiley face and incorrect user handle reference, making it completely useless and poor in tone.",off_topic_chatter,False,@807660 😁 /FR,incorrect,poor,correct_no_escalation,general_inquiry,Hi there! Thanks for reaching out to Spotify Cares. We're here to help! Could you please send us a direct message with your account email and more details so our team can look into this for you?
